label,news_text,id,preprocessed_news_text
true,Says the military accounts for about 10 percent of Floridas economy.,2157,say militari account 10 percent florida economi
half-true,"When I was fighting against cap and trade, the speaker was sitting down with Nancy Pelosi on a sofa encouraging it.",3707,fight cap trade speaker sit nanci pelosi sofa encourag
mostly-true,"Amendment 2 on medical marijuana won a higher percentage of the vote than the last six Florida governors, including Jeb Bushs 2002 landslide.",7166,amend 2 medic marijuana higher percentag vote last six florida governor includ jeb bush 2002 landslid
barely-true,Government employees make 43 percent more in wages and benefits than private-sector workers.,3144,govern employe make 43 percent wage benefit worker
barely-true,Says Hillary Clinton wantsillegal immigrants collectingSocial Security benefits.,9884,say hillari clinton wantsilleg immigr collectingsoci secur benefit
pants-fire,Says the states Medicaid waiver proposal has languished in a file cabinet at the Centers for Medicare and Medicaid Services for more than two years.,3018,say state medicaid waiver propos languish file cabinet center medicar medicaid servic two year
half-true,"In fact, oil spills from tankers are far more common than the very rare leaks from rigs or pipelines.",6321,fact oil spill tanker far common rare leak rig pipelin
barely-true,David Perdue opposes laws that provide equal pay protections for women.,3772,david perdu oppos law provid equal pay protect women
false,President Obamas health-care law will add trillions of dollars in debt.,4607,presid obama law add trillion dollar debt
pants-fire,"Wikileaks also shows how John Podesta rigged the polls by oversampling Democrats, a voter suppression technique.",9109,wikileak also show john podesta rig poll oversampl democrat voter suppress techniqu
false,Says award-winning Milwaukee Public Schools teacher Megan Sampson was laid off because Gov. Scott Walker cut state aid to education.,4535,say milwauke public school teacher megan sampson laid gov scott walker cut state aid educ
true,"Between 1980 and 2010, water usage in Georgia dropped even as the states population grew.",7191,1980 2010 water usag georgia drop even state popul grew
half-true,"Says a gun bill before the Senate would make it a federal felony to leave town for more than seven days, and leave someone else at home with your firearms.",5460,say gun bill senat would make feder feloni leav town seven day leav someon els home firearm
mostly-true,Weve saved over $100 million of (health care) costs in Milwaukee County. I did that.,9023,weve save 100 million health care cost milwauke counti
mostly-true,Winning enough pledged delegates is not impossible.,3481,win enough pledg deleg imposs
mostly-true,"Says female genital mutilation is a central African problem, not an Islamic problem, as Bill Maher suggested.",6093,say femal genit mutil central african problem islam problem bill maher suggest
half-true,The election bill allows persons to correct an absentee ballot if they did not sign it and requires an extra two hours a day for early voting. Everything else in this bill is discretionary.,7719,elect bill allow person correct absente ballot sign requir extra two hour day earli vote everyth els bill discretionari
false,"Household income in America has gone down for families an average of $4,000 in the last four years while it went up $5,000 under Mitt Romney when he was governor of Massachusetts",4256,household incom america gone famili averag last four year went mitt romney governor massachusett
half-true,The federal health care law tells the American people precisely what type of coverage they have to have.,7061,feder health care law tell american peopl precis type coverag
pants-fire,Says Barack Obama began his presidency going on a worldwide apology tour.,5215,say barack obama began presid go worldwid apolog tour
barely-true,"Says uncompensated health care costs absorbed by Texas hospitals are adding $1,800 a year to Texas private insurance rates.",2884,say uncompens health care cost absorb texa hospit ad year texa privat insur rate
true,"We had a No Child Left Behind a similar piece of legislation in our state a number of years ago, well before the federal law. And it's had a big impact here. It's improved schools.",4738,child left behind similar piec legisl state number year ago well feder law big impact improv school
true,More than 72 percent of children in the African-American community are born out of wedlock.,5554,72 percent children commun born wedlock
barely-true,Unions did not create the eight-hour work day and the 40-hour work week. Henry Ford did.,4891,union creat work day work week henri ford
pants-fire,"Honduras bans citizens from owning guns and has the highest homicide rate in the entire world. Switzerland, with a similar population, requires citizens to own guns and has the lowest homicide rate in the entire world.",3974,hondura ban citizen own gun highest homicid rate entir world switzerland similar popul requir citizen gun lowest homicid rate entir world
barely-true,More than 50 percent of those people getting minimum wage in this state are high school students.,8223,50 percent peopl get minimum wage state high school student
half-true,Says 56 percentof (the U.S.-Mexico) border is not under our control.,6285,say 56 percentof border control
false,"So many people were critical of Secretary (John) Kerry going to Paris and talking with Hamas, because Kerry was seen as supporting Hamas to the exclusion of the Arab League.",4800,mani peopl critic secretari john kerri go pari talk hama kerri seen support hama exclus arab leagu
false,Gov. Scott Walkers plan to freeze pay for state employees includes a 5.4 percent raise for himself.,8036,gov scott walker plan freez pay state employe includ percent rais
false,"Pls refer to Jan.1 tax changes appropriately: theyre OBAMA TAX HIKES theyll slam every Americans savings, investments job opportunity",6660,pl refer tax chang appropri theyr obama tax hike theyll slam everi american save invest job opportun
half-true,The health care reform law offset[s] 6 years of benefits with 10 years of tax increases.,6485,health care reform law offset 6 year benefit 10 year tax increas
mostly-true,There are 49 different federal job training programs that report to eight agencies.,1691,49 differ feder job train program report eight agenc
false,Limiting labor negotiations to only wages is how it is for the most part in the private sector.,564,limit labor negoti wage part privat sector
mostly-true,"Starting in December 2007, 1.4 million jobs were created in Texas. In that same period, the rest of the country lost 400,000 jobs.",291,start decemb 2007 million job creat texa period rest countri lost job
false,"I was among the earliest to criticize the rush to war (in Iraq), and yes, even before the war ever started.",5006,among earliest critic rush war iraq ye even war ever start
half-true,"Even though Chicago has the most stringent gun laws on the books, it still has the highest murder rate in the country.",1755,even though chicago stringent gun law book still highest murder rate countri
false,"I just talked about guns. I told you what my position was, and what I did as governor, the fact that I received the endorsement of the NRA.",7983,talk gun told posit governor fact receiv endors nra
true,"If the space-shuttle program is terminated, Russia and China will be the only nations ...with the capability to launch humans into space.",4516,program termin russia china nation capabl launch human space
true,"Over the last six years, the state of Illinois spent about $320 million on illegal immigrants.",5494,last six year state illinoi spent 320 million illeg immigr
mostly-true,"Says Chris Abele, opponent in Milwaukee County executive race, failed to finish 3 separate colleges, dropping out all 3 times.",1842,say chri abel oppon milwauke counti execut race fail finish 3 separ colleg drop 3 time
mostly-true,Says 55 percent of council members have come from area where only 10 percent of Austinites live.,9397,say 55 percent council member come area 10 percent austinit live
barely-true,"Hillary Clinton surged the trade deficit with China 40% as Secretary of State, costing Americans millions of jobs.",7335,hillari clinton surg trade deficit china 40 secretari state cost american million job
true,The entire state of Florida led the nation last year with the most prison inmates committing tax fraud.,7884,entir state florida led nation last year prison inmat commit tax fraud
pants-fire,Says Barack Obama was happily photographed holding a T-shirt with revolutionary Ernesto Che Guevaras face on it.,10003,say barack obama happili photograph hold revolutionari ernesto che guevara face
true,The numbers make it clear that Georgia voters are increasingly taking advantage of early voting opportunities.,821,number make clear georgia voter increasingli take advantag earli vote opportun
pants-fire,The Obama administration even proposed banning farm kids from doing basic chores!,6246,obama administr even propos ban farm kid basic chore
mostly-true,"Says an array of statistics show that conditions in some parts of Baltimore rival that of the West Bank in Palestine, North Korea, and distressed cities in Nigeria, India, China and South Africa.",819,say array statist show condit part baltimor rival west bank palestin north korea distress citi nigeria india china south africa
half-true,Dave Aronberg was the first to demand that BP create a billion-dollar fund to pay for the devastation.,9952,dave aronberg first demand bp creat fund pay devast
mostly-true,Nathan Deal saved the HOPE scholarship program.,7368,nathan deal save hope scholarship program
mostly-true,"$50,000. Thats what every child owes today because Washington politicians have run up a huge spending tab and left our kids the bill.",7398,that everi child owe today washington politician run huge spend tab left kid bill
mostly-true,Says he helped save the Olympic games.,3828,say help save olymp game
barely-true,Donald Trump has described Hillary Clinton as one of the best secretaries of state in history.,6861,donald trump describ hillari clinton one best secretari state histori
half-true,"The governors not taking his own fiscal advice. ... In the first fiscal quarter of this year, weve seen a 13.5 percent increase in spending, double-digit spending out of the executive branch in the State of Texas.",8769,governor take fiscal advic first fiscal quarter year weve seen percent increas spend spend execut branch state texa
true,"The national debt increased $16,000 every secondGeorge Allen served in theU.S. Senate.",1002,nation debt increas everi secondgeorg allen serv senat
half-true,California has added twice as many jobs as Florida over the past year.,2744,california ad twice mani job florida past year
half-true,Says that Rick Santorum voted for the unions over FedEx.,1720,say rick santorum vote union fedex
mostly-true,Says President Barack Obama revealed in his State of the Union address that he now is against earmarks.,4886,say presid barack obama reveal state union address earmark
half-true,Democrats give Newports to the homeless to get them to the polls.,7480,democrat give newport homeless get poll
barely-true,Says he balanced the budget without raising taxes.,6813,say balanc budget without rais tax
half-true,Says India gained jobs thanks to Romney.,1109,say india gain job thank romney
pants-fire,"Up until two weeks ago, John McCain was a leading proponent of amnesty. Now with me challenging him, suddenly he has changed.",3393,two week ago john mccain lead propon amnesti challeng suddenli chang
pants-fire,Says President Barack Obamas finance team is recommending a 1% tax on all transactions at any financial institution.,9404,say presid barack obama financ team recommend 1 tax transact financi institut
half-true,Sherrod Brown was just voted two years in a row the most liberal senator in the United States of America and is more liberal than Sen. Bernie Sanders.,7279,sherrod brown vote two year row liber senat unit state america liber berni sander
false,Says New Jersey Devils managing partner Jeff Vanderbeek took us into arbitration.,1506,say new jersey devil manag partner jeff vanderbeek took us arbitr
half-true,The Agriculture Department estimates that roughly 42 percent of the corn crop will be used to make ethanol -- more than the amount of corn used to feed livestock and poultry in the United States.,1291,agricultur depart estim roughli 42 percent corn crop use make ethanol amount corn use feed livestock poultri unit state
false,More Tennesseans have hunting and fishing licenses than vote.,6432,tennessean hunt fish licens vote
pants-fire,Says Tom Barrett supports a government takeover of our health care,9917,say tom barrett support govern takeov health care
true,"Even if you took literally every single ounce of platinum in the world, it still wouldnt add up to enough needed to pay down our nations debt.",5101,even took liter everi singl ounc platinum world still wouldnt add enough need pay nation debt
barely-true,"Youre paying for...(state Sen. Diane Allens) health care, and she took yours away.",8045,your pay state dian allen health care took away
pants-fire,"In one county alone in Ohio, President Obama received 106,258 votes. But there were only 98,213 eligible voters.",4247,one counti alon ohio presid obama receiv vote elig voter
mostly-true,Says Alex Sink supported more taxes on water and TV.,7241,say alex sink support tax water tv
half-true,Twenty-five percent of people in the country have said they changed their email and phone habits because of the collection of data allowed by the Patriot Act.,1612,percent peopl countri said chang email phone habit collect data allow patriot act
false,"Under Obama, the national debt has been reduced every year for the last five years.",8048,obama nation debt reduc everi year last five year
true,"Attorney General McCollum, Speaker-Designate Cannon, Senate President-Designate Haridopolos and I stood up to Governor Crist and worked to remove Jim Greer as Chairman because of his mismanagement of the party.",10095,attorney gener mccollum cannon senat haridopolo stood governor crist work remov jim greer chairman mismanag parti
barely-true,"Says Rep. Bruce Braley, D-Iowa, skipped an important VA reform hearing to attend three fundraisers.",7136,say bruce braley skip import va reform hear attend three fundrais
pants-fire,Says she was misquoted and didnt say that the Israeli ambassador said what the Republicans are doing is dangerous for Israel.,6613,say misquot didnt say isra ambassador said republican danger israel
false,Says library district would come at no direct cost to the city budget.,5579,say librari district would come direct cost citi budget
pants-fire,"The Massachusetts Supreme Court...defined marriage as simply, quote,the establishment of intimacy ... I guess that would mean if you really had affection for your horse, I guess you could marry your horse.",2667,massachusett suprem court defin marriag simpli quot establish intimaci guess would mean realli affect hors guess could marri hors
barely-true,"Under a new federal regulation, it will cost Pinellas County $31 million to fix a single ditch.",8829,new feder regul cost pinella counti 31 million fix singl ditch
true,"Since 2000, when he entered politics, Jon Husted has been on the ballot six times for three different political offices.",6795,sinc 2000 enter polit jon hust ballot six time three differ polit offic
pants-fire,"A clause hidden in the Obamacare bill, which is now law, gives Obama the right to form a private army.",6240,claus hidden obamacar bill law give obama right form privat armi
true,"Says in Chicago, we take more guns off the streets than New York or L.A.",8357,say chicago take gun street new york
false,"Last year, ExxonMobil made $19 billion in profit. Guess what. They paid zero in taxes. They got a $156 million refund from the IRS.",10008,last year exxonmobil made 19 billion profit guess paid zero tax got 156 million refund ir
false,"Says that under his tax plan, no matter where you are in the stratosphere, youre going to be getting a tax cut.",2406,say tax plan matter stratospher your go get tax cut
false,Rhode Island voters are moving away from the Democratic party to non-affiliation,9918,rhode island voter move away democrat parti
pants-fire,"Says Rick Perry is spending more money than the state takes in, covering his deficits with record borrowing.",1472,say rick perri spend money state take cover deficit record borrow
true,"Three years ago, John McCain said, ""Afghanistan we don't read about it anymore in papers because it succeeded.""",6377,three year ago john mccain said afghanistan read anymor paper succeed
half-true,On his support for Donald Trump.,3857,support donald trump
pants-fire,Idaho Republican Rep. Mike Simpson is a liberal who voted with Nancy Pelosi to fund sex study programs of San Francisco prostitutes and to regulate the sale of firearms.,5465,idaho republican mike simpson liber vote nanci pelosi fund sex studi program san francisco prostitut regul sale firearm
false,"By 2015, we will be sending so much interest to China that we will be paying for the entire Peoples Liberation Army.",2957,2015 send much interest china pay entir peopl liber armi
pants-fire,Says that Starbucks took Christmas off of their brand new cups.,329,say starbuck took christma brand new cup
half-true,"Our debt to GDP ratios, our deficit to GDP ratios are quickly approaching the countries we have been reading about for the last year and a half. We are not far behind Ireland, Greece, Portugal and Spain and all these countries we have been reading about.",6357,debt gdp ratio deficit gdp ratio quickli approach countri read last year half far behind ireland greec portug spain countri read
true,There is little if any evidence that the use of red light cameras in New Jersey has reduced the number or severity of accidents at the intersections where they are used.,486,littl evid use red light camera new jersey reduc number sever accid intersect use
true,Richard Nixon released tax returns when he was under audit.,9330,richard nixon releas tax return audit
barely-true,I started the whole year as a senior on the University of Illinois football team and led the team in interceptions and tackles from defensive back.,6957,start whole year senior univers illinoi footbal team led team intercept tackl defens back
barely-true,"Barbara Boxer voted to cut spending on Medicare benefits by $500 billion, cuts so costly to hospitals and nursing homes that they could stop taking Medicare altogether.",2135,barbara boxer vote cut spend medicar benefit 500 billion cut costli hospit nurs home could stop take medicar altogeth
true,Every single month since 1985 has been warmer than the historic average. All 12 of the warmest years on record have come in the last 15 years.,8271,everi singl month sinc 1985 warmer histor averag 12 warmest year record come last 15 year
mostly-true,Texas is LAST (50th) in spending for mental health care.,1601,texa last 50th spend mental health care
mostly-true,70 percent of Americans believe that we are on the wrong path.,6348,70 percent american believ wrong path
true,Wisconsins attorney general and state treasurer ordered the daughter of Earth Day founder Gaylord Nelson not to discuss climate change on state time.,608,wisconsin attorney gener state treasur order daughter earth day founder gaylord nelson discuss climat chang state time
barely-true,"Frank Guinta voted to make middle class taxpayers pay over a $1,000 more a year in taxes.",7689,frank guinta vote make middl class taxpay pay year tax
true,"When the salmonella source was finally identified, FDA officials had to wait for industry approval before they could go live with the [peanut] recall.",1637,salmonella sourc final identifi fda offici wait industri approv could go live peanut recal
barely-true,"On (Tom) Wolfs watch, taxes were high, killing 100,000 PA jobs.",4361,tom wolf watch tax high kill pa job
mostly-true,Republicans extended unemployment insurance under President Bush when he asked to extend unemployment insurance.,9838,republican extend unemploy insur presid bush ask extend unemploy insur
true,The 2012 National Survey on Drug Use and Health found that up to half of daily marijuana smokers become addicted -- an estimated 2.7 million people in the U.S.,7154,2012 nation survey drug use health found half daili marijuana smoker becom addict estim million peopl
barely-true,Nonpartisan government analysts say Obamacare will cost our economy up to 2.5 million jobs.,3780,nonpartisan govern analyst say obamacar cost economi million job
half-true,Says it will cost $220 per square foot in hard construction costs to rebuild Portland Public high schools.,5482,say cost 220 per squar foot hard construct cost rebuild portland public high school
mostly-true,"For the last decade, Floridians salaries have shrunk substantially when adjusted for inflation.",9158,last decad floridian salari shrunk substanti adjust inflat
mostly-true,"Says when New Jersey adopted guaranteed coverage and cost provisions without a mandate individual health insurance market rates doubled or tripled and enrollment dropped from 180,000 people to 80,000 people.",3634,say new jersey adopt guarante coverag cost provis without mandat individu health insur market rate doubl tripl enrol drop peopl peopl
half-true,"The federal government may put 16,500 IRS agents in charge of policing President Obamas health care bill.",3085,feder govern may put ir agent charg polic presid obama health care bill
barely-true,All University of Texas student-athletes get an iPad.,2401,univers texa get ipad
false,The only time government employment has gone down during a recession has been under me.,6482,time govern employ gone recess
true,"Ohio is losing over 700 family farms a year, some of them just to pay the inheritance tax.",7515,ohio lose 700 famili farm year pay inherit tax
pants-fire,"McCain's energy plan is a ""single-answer proposition"" new domestic oil drilling.",4368,mccain energi plan proposit new domest oil drill
barely-true,Kids coming from an affluent background are taking advantage of all these student loan programs and grants while many middle-class families with no connection to college are picking up the tab.,10176,kid come affluent background take advantag student loan program grant mani famili connect colleg pick tab
false,New Jersey is the only state in the union that spent less on higher education than it did at the beginning of the decade.,2907,new jersey state union spent less higher educ begin decad
mostly-true,"When career politician Daniel Webster became speaker of the House, he wasted $32,000 of our money on a spiral staircase for his office.",873,career politician daniel webster becam speaker hous wast money spiral staircas offic
mostly-true,"When Deborah took office, the (Sellwood Bridge) project had languished for years, with only $11 million in funds. With her leadership the remaining funding was secured that got the project moving forward.",5443,deborah took offic sellwood bridg project languish year 11 million fund leadership remain fund secur got project move forward
false,Says Dow Chemical decided to build a plant in Saudi Arabia rather than Oklahoma due to the impact of environmental regulations on the supply of natural gas.,3416,say dow chemic decid build plant saudi arabia rather oklahoma due impact environment regul suppli natur ga
true,Ninety-seven percent of the time. Thats how often Mark Warner votes with President Obama.,817,percent time that often mark warner vote presid obama
mostly-true,"As bank president, Alex Sink eliminated thousands of Florida jobs while taking over $8 million in salary and bonuses.",1499,bank presid alex sink elimin thousand florida job take 8 million salari bonus
half-true,"832,000 people lost their job while (Charlie Crist was)governor.",5413,peopl lost job charli crist governor
false,Fewer than 10 percent of those in the House are what anyone would classify as wealthy.,7597,fewer 10 percent hous anyon would classifi wealthi
mostly-true,Every 1 percent increase in the number of Ohioans with bachelors degrees means economic activity growing the next year and for each year thereafter (by) $2.5 billion dollars.,4630,everi 1 percent increas number ohioan bachelor degre mean econom activ grow next year year thereaft billion dollar
false,Says President Barack Obama did not invite a Republican senator to dine at the White House until his fifth year in office.,8234,say presid barack obama invit republican senat dine white hous fifth year offic
pants-fire,"Since Rep. John Boccieris election, Ohio has lost 600,000 jobs and his districts unemployment has doubled.",6287,sinc john boccieri elect ohio lost job district unemploy doubl
barely-true,Says a Justice Department memo directs that you must openly embrace gay marriage and homosexuality.,5228,say justic depart memo direct must openli embrac gay marriag homosexu
mostly-true,Texas has outstripped the national poverty rate since at least 1959.,4388,texa outstrip nation poverti rate sinc least 1959
barely-true,You dont know if this (the H1N1 vaccine) is gonna cause neurological damage like it did in the 1970s.,4622,dont know h1n1 vaccin gon na caus neurolog damag like 1970
true,"In 2010, Mr. [Anthony] Gemma described himself as a pro-life candidate. Now, he claims to be pro-choice.",9989,2010 anthoni gemma describ candid claim
true,Wisconsin is called the Badger State because our ancestors came here with the hopes of living the American dream by mining.,5594,wisconsin call badger state ancestor came hope live american dream mine
true,Sen. Obama has been to Iraq once.,4901,obama iraq
false,A North Carolina study proves that probably over a million people voted twice in (the 2012) election.,2619,north carolina studi prove probabl million peopl vote twice 2012 elect
false,The health care law includes tort reform.,6683,health care law includ tort reform
pants-fire,"What I have done -- and this is unprecedented ... is Ive said to each agency ... look at regulations that are already on the books and if they dont make sense, lets get rid of them.",9427,done unpreced ive said agenc look regul alreadi book dont make sens let get rid
pants-fire,I lost my health insurance and my doctor because of Obamacare.,1386,lost health insur doctor obamacar
barely-true,"Says Rob Portman was a registered foreign agent whose client was Haiti, at a time when the Baby Doc, Duvalier, who was a despot, was killing people.",760,say rob portman regist foreign agent whose client haiti time babi doc duvali despot kill peopl
mostly-true,Providence graduation rates are up.,5832,provid graduat rate
barely-true,The tax policies of George W. Bush created a dynamic effect of high growth.,8060,tax polici georg bush creat dynam effect high growth
true,"When I served as City Commissioner, we made great strides we successfully fought for, and won, adding women and people of color to the Fire Bureau.",7653,serv citi commission made great stride success fought ad women peopl color fire bureau
mostly-true,More Hispanics have been elected statewide (in Texas) on the Republican ticket than on the Democratic ticket.,9329,hispan elect statewid texa republican ticket democrat ticket
mostly-true,Pasco County has the second highest population of homeless in all of Florida.,4560,pasco counti second highest popul homeless florida
barely-true,"In 2007, Ed Gillespie was paid $300,000 to be the frontman for a coalition that made the individual mandate the centerpiece of its health reform plan.",6071,2007 ed gillespi paid frontman coalit made individu mandat centerpiec health reform plan
true,"We spent approximately $20-billion of that money on pork barrel, earmark projects. Maybe if we had done it right, maybe some of that money would have gone to inspect those bridges and other bridges across the country.",4956,spent approxim money pork barrel earmark project mayb done right mayb money would gone inspect bridg bridg across countri
half-true,"Raising taxes on investment income has actually lowered the revenue received from the tax, while cutting capital gains tax rates has increased revenue.",5070,rais tax invest incom actual lower revenu receiv tax cut capit gain tax rate increas revenu
pants-fire,The Republicans have never done anything really to balance the budget.,6242,republican never done anyth realli balanc budget
false,The president of the United States will be taking a trip over to India that is expected to cost the taxpayers $200 million a day.,1975,presid unit state take trip india expect cost taxpay 200 million day
half-true,Every dollar spent in the new Obamacare system ... goes to private-sector insurance companies.,8528,everi dollar spent new obamacar system goe insur compani
mostly-true,Says Indiana Gov. Mike Pence provides zero state funding for homeless shelters.,3037,say indiana gov mike penc provid zero state fund homeless shelter
half-true,"The Senate version of the economic stimulus package includes ""millions of dollars to World War II Filipino veterans in the Philippines.""",5039,senat version econom stimulu packag includ million dollar world war ii filipino veteran philippin
true,Swaziland has the highest rate of HIV infection in the world.,7630,swaziland highest rate hiv infect world
barely-true,"We are seeing dramatic rate cuts to Medicare that will affect seniors ability to keep their doctor, hospital and prevention services.",5446,see dramat rate cut medicar affect senior abil keep doctor hospit prevent servic
half-true,Says the largest tax increase in American history is set to occur on January 1st unless President Obama and Congress can come to an agreement.,8533,say largest tax increas american histori set occur januari 1st unless presid obama congress come agreement
pants-fire,"Sheila Jackson Lee of Texas said: Hey, all you wrinkly, white-aged has-beens: Its time for you to die and let the next generation have your spot on the planet.",374,sheila jackson lee texa said hey wrinkli time die let next gener spot planet
half-true,On support for Common Core education standards,5504,support common core educ standard
pants-fire,Says Barack Obama said that ordinary men and women are too small-minded to govern their own affairs and that individuals should surrender their rights to an all-powerful sovereign.,6619,say barack obama said ordinari men women govern affair individu surrend right sovereign
pants-fire,"Says Steve Kagen promised us jobs, voting for the $787 billion stimulus. Cost: another 77,000 jobs lost.",1075,say steve kagen promis us job vote 787 billion stimulu cost anoth job lost
mostly-true,"When we had a conservative Republican president we were losing 750,000 jobs a month.",8367,conserv republican presid lose job month
barely-true,"The Congressional Budget Office ""estimates that only 15 percent of this stimulus package will be spent in 2009"" and only 37 percent in 2010.",1608,congression budget offic estim 15 percent stimulu packag spent 2009 37 percent 2010
true,Drone technology now allows an individual to be recorded in their homes by drones as small as birds and immediately uploaded to the internet.,7383,drone technolog allow individu record home drone small bird immedi upload internet
true,"\u201CThirty-four percent of Hispanics don\u2019t have any health care at all, don\u2019t have any health insurance.\u201D",3633,percent hispan health care health
half-true,"Mitt Romney did not endorse Ted Cruz, even though he said he is voting for Cruz and urged others to do likewise.",3737,mitt romney endors ted cruz even though said vote cruz urg other likewis
barely-true,SaysPatrick Murphys Pay More energy agenda means you could pay another $500 a year for your utility bills!,8938,sayspatrick murphi pay energi agenda mean could pay anoth 500 year util bill
true,Senator McCain voted against the Bush tax cuts. Now he's for them.,3832,senat mccain vote bush tax cut
mostly-true,Says cities save an estimated $38 in dental costs for every $1 invested in fluoridation.,7159,say citi save estim 38 dental cost everi 1 invest fluorid
half-true,America never made up for the gutting of the intelligence services that Bill Clinton did. I think those are (former CIA director George) Tenet's words ... that Bill Clinton gutted American intelligence.,9139,america never made gut intellig servic bill clinton think former cia director georg tenet word bill clinton gut american intellig
pants-fire,"Our law enforcement agencies have found bodies in the desert, either buried or just lying out there, that have been beheaded.",7132,law enforc agenc found bodi desert either buri lie behead
half-true,"Say in November 2010, voters overwhelmingly supported the idea of creating a (library) district.",6860,say novemb 2010 voter overwhelmingli support idea creat librari district
true,Sherrod Brown failed to pay his own taxes three separate times.,9292,sherrod brown fail pay tax three separ time
true,The last time Republican U.S. Senate candidates beat more than two (incumbents) was 1980.,802,last time republican senat candid beat two incumb 1980
true,Forty-three million Americans are on food stamps.,9807,million american food stamp
barely-true,Mitt Romneys platform ...wont protect the mortgage interest (tax) deduction for middle-class families.,6309,mitt romney platform wont protect mortgag interest tax deduct famili
pants-fire,Says Bill White is refusing to debate.,3276,say bill white refus debat
pants-fire,Georgia could get money for schools by scraping the gold off the gold dome of the state Capitol.,6460,georgia could get money school scrape gold gold dome state capitol
pants-fire,Chris Coons has Marxist beliefs.,4266,chri coon marxist belief
true,"Right now we are spending at an all-time high, close to 25 percent of our GDP [is] being spent on the federal government. But our revenues are at an almost all-time low of about 15 percent [of GDP].",8710,right spend high close 25 percent gdp spent feder govern revenu almost low 15 percent gdp
half-true,Obama opposed exploring for energy in Alaska.,5544,obama oppos explor energi alaska
true,"Crist sent his ""top policy staffer to the House Committee to testify in support of the proposal,"" then vetoed the bill.",9802,crist sent top polici staffer hous committe testifi support propos veto bill
mostly-true,Rick Scott tried to slash school funding by $3.3 billion.,2630,rick scott tri slash school fund billion
barely-true,"Congress, criminals, Scientologists and other groups are exempt from Obamacare.",4762,congress crimin scientologist group exempt obamacar
barely-true,The (Jackson) plan (for reforming Cleveland schools) lacks any data or methods proven to raise student achievement.,2444,jackson plan reform cleveland school lack data method proven rais student achiev
half-true,Congress gave an unelected board the power to deny care to seniors.,1932,congress gave unelect board power deni care senior
half-true,F: The grade given to Florida for college affordability under Jeb Bushs leadership.,9854,f grade given florida colleg afford jeb bush leadership
barely-true,Says Democratic state Sen. Jim Holperin voted against a property tax freeze in 2009 and then voted for a $1.5 billion property tax hike.,3476,say democrat state jim holperin vote properti tax freez 2009 vote billion properti tax hike
barely-true,"These steps (a middle-class tax cut, national health care plan, foreclosure prevention fund, Social Security fix and more) are all paid for.",5960,step tax cut nation health care plan foreclosur prevent fund social secur fix paid
mostly-true,"John McCain ""voted against the tax cuts of 2001 and 2003, wrongly claiming they helped only the rich.""",8921,john mccain vote tax cut 2001 2003 wrongli claim help rich
barely-true,Says U.S. Rep. Stephen Fincher breaks earmark pledge.,6092,say stephen fincher break earmark pledg
mostly-true,Half of all NC legislative candidates are unopposed because of gerrymandering.,9656,half nc legisl candid unoppos gerrymand
false,"In Wisconsin, more than 300,000 people have some kind of addictive gambling problem, whether its pathological or what wed categorize as a problem gambler.",10158,wisconsin peopl kind addict gambl problem whether patholog wed categor problem gambler
pants-fire,Redistribution has never been a characteristic of America.,881,redistribut never characterist america
pants-fire,President Barack Obama is ending Medicare as we know it.,8539,presid barack obama end medicar know
barely-true,Says Hillary Clinton savaged the dignity of people who accused Bill Clinton of sexual harassment or assault and shamed them.,4556,say hillari clinton savag digniti peopl accus bill clinton sexual harass assault shame
mostly-true,The actual (construction) contracts that weve awarded to date have come in several hundred million dollars below estimates.,496,actual construct contract weve award date come sever hundr million dollar estim
pants-fire,"In three days last week, (Gov. Rick) Perry flew to five cities at taxpayers expense, holding press conferences, delivering $2,325,000 in checks.",3682,three day last week gov rick perri flew five citi taxpay expens hold press confer deliv check
half-true,Invested $90 million in traffic fixes without raising taxes.,2885,invest 90 million traffic fix without rais tax
pants-fire,The National Science Foundation spent $1.2 million paying seniors to play World of Warcraft to study the impact it had on their brain.,1830,nation scienc foundat spent million pay senior play world warcraft studi impact brain
pants-fire,"Says the stimulus bill sent tax credits overseas, such as $1.2 billion to a solar company thats building a plant in Mexico.",6790,say stimulu bill sent tax credit oversea billion solar compani that build plant mexico
barely-true,Travis County residents trusted me to take on Tom DeLay and we won.,5185,travi counti resid trust take tom delay
half-true,Some cardiologists estimate 70 percent of all males over 50 have some form of heart disease.,5335,cardiologist estim 70 percent male 50 form heart diseas
true,"Federal spending is all discretionary, other than interest on the national debt. Social Security is discretionary. We have the discretion to change the law. Same is true with Medicare and Medicaid.",8392,feder spend discretionari interest nation debt social secur discretionari discret chang law true medicar medicaid
mostly-true,Says Charlie Crist raised taxes on the middle class by $2.2 billion.,1701,say charli crist rais tax middl class billion
pants-fire,Sens. Mark Warner and Tim Kaine voted to let the U.N. take OUR guns.,2112,sen mark warner tim kain vote let take gun
false,"Under the Iran nuclear deal, we give them $150 billion, we get nothing.",7495,iran nuclear deal give 150 billion get noth
true,"With those first principles, it allowed a fellow like me to get in his truck and go from one end of the state to the other; started 20 points down and wound up 20 points ahead on election night.",2528,first principl allow fellow like get truck go one end state start 20 point wound 20 point ahead elect night
true,Georgias CRCT set some of the lowest expectations for student proficiency in the nation.,5124,georgia crct set lowest expect student profici nation
